species,AVG SVL,AVG hl,AVG hw,AVG hh,AVG ljl,AVG outlever,AVG jugal to symphysis,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG toe IV lam width,AVG humerus,AVG radius,AVG lfing IV,AVG fing IV lam width,AVG pelv ht,AVG pelv wd,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
argenteolus,3.971307363,2.753415704,2.091579121,1.815951644,2.725285433,2.639606629,2.461756117,2.677273735,2.601378285,2.160489661,2.365054167,0.31649377,2.366570577,2.259436677,1.763148935,0.179111281,1.605275415,1.489440889,3.713453055,3.250252395,3.944506029,4.728968922
argillaceus,3.757868992,2.613592991,2.057195933,1.793591124,2.593013391,2.498151877,2.315402597,2.143354867,2.048079865,1.594730284,2.002830439,0.148420005,2.015969119,1.844668125,1.467413412,0.017839918,1.6048273,1.375738847,3.47131568,3.023184036,3.723950173,4.337493337
armouri,4.121684075,3.068936266,2.622637545,2.346027651,3.077035725,2.974712906,2.762853993,2.786984603,2.698942182,2.269648593,2.580141069,0.450438474,2.476454363,2.340169853,1.938597764,0.368801124,2.193551172,1.87946505,3.438051436,2.866890154,4.02367504,4.618763864
bahorucoensis,3.827445029,2.775397275,1.982242078,1.781540769,2.7691453,2.689139176,2.514789024,2.475949992,2.433788779,2.005929546,2.261033666,-0.020202707,2.00794554,1.856766631,1.538800833,-0.209487225,1.601808885,1.312378678,3.452632791,2.808963495,3.815790504,4.752015918
baleatus,5.05305601,3.878466222,3.309858473,3.144313904,3.889854081,3.803657981,3.597141013,3.547387892,3.451969707,2.980110893,3.333632062,1.360655989,3.393920973,3.160663915,2.79766236,1.234744463,3.037473845,2.619765286,3.903528434,3.445879418,5.002786027,5.657434018
baracoae,5.042779747,3.928565422,3.31987886,3.162813281,3.917289115,3.850743169,3.665201327,3.549962155,3.43023825,2.966560896,3.320276511,1.437700149,3.342048753,3.11471459,2.757792293,1.317747819,2.880040799,2.602541526,4.18795976,3.69050587,5.005124217,5.747959186
barahonae,5.076957937,3.880915576,3.309708463,3.184166065,3.899314016,3.821253928,3.600204356,3.586490709,3.484750404,3.008154794,3.350305009,1.402238012,3.374168709,3.16836418,2.842248038,1.222514132,3.041592981,2.614785547,3.903621666,3.439502741,5.003353166,5.624030319
barbatus,5.003946306,4.073971772,3.406958532,3.444043992,3.924215046,3.873420768,3.62389639,3.369477357,3.176385773,2.729159164,3.142282716,1.357551892,3.323956301,3.11632617,2.759798947,1.309233315,2.863533326,2.607370073,3.823694051,3.394096815,5.044437041,5.069899409
barbouri,3.663931948,2.468005365,1.929103031,1.636620647,2.422538611,2.344260057,2.155373247,2.346920907,2.138234422,1.675225653,2.012084237,-0.456758402,1.964467058,1.749972503,1.443252138,-0.53329848,1.662241177,1.266634565,2.930842314,2.413637788,3.642072928,4.532167598
bartschi,4.280547466,3.098781028,2.492153058,2.265732483,3.111047621,3.017582714,2.799551483,3.047548159,2.945012977,2.408990517,2.655735652,0.832118296,2.668174728,2.54124402,2.110103001,0.700844751,2.070194373,1.948115508,3.727798175,3.288014264,4.245486772,5.034223639
